INDEX;OPSNAME;REGION;CITY
125130;МОСКВА 130;МОСКВА;
125167;МОСКВА 167;МОСКВА;
125171;МОСКВА 171;МОСКВА;
125183;МОСКВА 183;МОСКВА;
125190;МОСКВА 190;МОСКВА;
125195;МОСКВА 195;МОСКВА;
125196;МОСКВА 196;МОСКВА;
125212;МОСКВА 212;МОСКВА;
125222;МОСКВА 222;МОСКВА;
125239;МОСКВА 239;МОСКВА;
125252;МОСКВА 252;МОСКВА;
125284;МОСКВА 284;МОСКВА;
125310;МОСКВА 310;МОСКВА;
125315;МОСКВА 315;МОСКВА;
125319;МОСКВА 319;МОСКВА;
125320;МОСКВА 320;МОСКВА;
125362;МОСКВА 362;МОСКВА;
125363;МОСКВА 363;МОСКВА;
125364;МОСКВА 364;МОСКВА;
125367;МОСКВА 367;МОСКВА;
125368;МОСКВА 368;МОСКВА;
125371;МОСКВА 371;МОСКВА;
125373;МОСКВА 373;МОСКВА;
125375;МОСКВА 375;МОСКВА;
125412;МОСКВА 412;МОСКВА;
125413;МОСКВА 413;МОСКВА;
125414;МОСКВА 414;МОСКВА;
125424;МОСКВА 424;МОСКВА;
125430;МОСКВА 430;МОСКВА;
125438;МОСКВА 438;МОСКВА;
125445;МОСКВА 445;МОСКВА;
125459;МОСКВА 459;МОСКВА;
125464;МОСКВА 464;МОСКВА;
125466;МОСКВА 466;МОСКВА;
125468;МОСКВА 468;МОСКВА;
125475;МОСКВА 475;МОСКВА;
125476;МОСКВА 476;МОСКВА;
125480;МОСКВА 480;МОСКВА;
125481;МОСКВА 481;МОСКВА;
125493;МОСКВА 493;МОСКВА;
125499;МОСКВА 499;МОСКВА;
125502;МОСКВА 502;МОСКВА;
125504;МОСКВА 504;МОСКВА;
125565;МОСКВА 565;МОСКВА;
125581;МОСКВА 581;МОСКВА;
125599;МОСКВА 599;МОСКВА;
125627;МОСКВА 627;МОСКВА;
125635;МОСКВА 635;МОСКВА;
125950;МОСКВА МРП-4;МОСКВА;
125976;МОСКВА МРП-4 УЧ. ТАРЫ;МОСКВА;
125993;МОСКВА ГСП-3;МОСКВА;
127006;МОСКВА 6;МОСКВА;
127015;МОСКВА 15;МОСКВА;
127018;МОСКВА 18;МОСКВА;
127025;МОСКВА 25;МОСКВА;
127030;МОСКВА 30;МОСКВА;
127051;МОСКВА 51;МОСКВА;
127055;МОСКВА 55;МОСКВА;
127081;МОСКВА 81;МОСКВА;
127083;МОСКВА 83;МОСКВА;
127091;МОСКВА 91;МОСКВА;
127092;МОСКВА 92;МОСКВА;
127106;МОСКВА 106;МОСКВА;
127137;МОСКВА 137;МОСКВА;
127185;МОСКВА 185;МОСКВА;
127204;МОСКВА 204;МОСКВА;
127206;МОСКВА 206;МОСКВА;
127214;МОСКВА 214;МОСКВА;
127220;МОСКВА 220;МОСКВА;
127221;МОСКВА 221;МОСКВА;
127224;МОСКВА 224;МОСКВА;
127237;МОСКВА 237;МОСКВА;
127238;МОСКВА 238;МОСКВА;
127247;МОСКВА 247;МОСКВА;
127253;МОСКВА 253;МОСКВА;
127254;МОСКВА 254;МОСКВА;
127273;МОСКВА 273;МОСКВА;
127276;МОСКВА 276;МОСКВА;
127282;МОСКВА 282;МОСКВА;
127287;МОСКВА 287;МОСКВА;
127299;МОСКВА 299;МОСКВА;
127322;МОСКВА 322;МОСКВА;
127349;МОСКВА 349;МОСКВА;
127381;МОСКВА 381;МОСКВА;
127410;МОСКВА 410;МОСКВА;
127411;МОСКВА 411;МОСКВА;
127422;МОСКВА 422;МОСКВА;
127427;МОСКВА 427;МОСКВА;
127434;МОСКВА 434;МОСКВА;
127473;МОСКВА 473;МОСКВА;
127474;МОСКВА 474;МОСКВА;
127486;МОСКВА 486;МОСКВА;
127490;МОСКВА 490;МОСКВА;
127495;МОСКВА 495;МОСКВА;
127521;МОСКВА 521;МОСКВА;
127540;МОСКВА 540;МОСКВА;
127543;МОСКВА 543;МОСКВА;
127549;МОСКВА 549;МОСКВА;
127550;МОСКВА 550;МОСКВА;
127560;МОСКВА 560;МОСКВА;
127562;МОСКВА 562;МОСКВА;
127566;МОСКВА 566;МОСКВА;
127572;МОСКВА 572;МОСКВА;
127576;МОСКВА 576;МОСКВА;
127591;МОСКВА 591;МОСКВА;
127616;МОСКВА 616;МОСКВА;
127641;МОСКВА 641;МОСКВА;
127642;МОСКВА 642;МОСКВА;
127644;МОСКВА 644;МОСКВА;
127950;МОСКВА МРП-3;МОСКВА;
127976;МОСКВА МРП-3 УЧ. ТАРЫ;МОСКВА;
127994;МОСКВА ГСП-4;МОСКВА;
129063;МОСКВА 63;МОСКВА;
129075;МОСКВА 75;МОСКВА;
129085;МОСКВА 85;МОСКВА;
129086;МОСКВА;МОСКВА;
129090;МОСКВА 90;МОСКВА;
129110;МОСКВА 110;МОСКВА;
129128;МОСКВА 128;МОСКВА;
129164;МОСКВА 164;МОСКВА;
129223;МОСКВА 223;МОСКВА;
129226;МОСКВА 226;МОСКВА;
129272;МОСКВА 272;МОСКВА;
129281;МОСКВА 281;МОСКВА;
129301;МОСКВА 301;МОСКВА;
129323;МОСКВА 323;МОСКВА;
129327;МОСКВА 327;МОСКВА;
129329;МОСКВА 329;МОСКВА;
129336;МОСКВА 336;МОСКВА;
129337;МОСКВА 337;МОСКВА;
129338;МОСКВА 338;МОСКВА;
129343;МОСКВА 343;МОСКВА;
129344;МОСКВА 344;МОСКВА;
129345;МОСКВА 345;МОСКВА;
129346;МОСКВА 346;МОСКВА;
129347;МОСКВА 347;МОСКВА;
129366;МОСКВА 366;МОСКВА;
129515;МОСКВА 515;МОСКВА;
129594;МОСКВА 594;МОСКВА;
129626;МОСКВА 626;МОСКВА;
130100;МОСКВА СЦ КД;МОСКВА;
130201;МОСКВА УКД-1;МОСКВА;
130202;МОСКВА УКД-2;МОСКВА;
130203;МОСКВА УКД-3;МОСКВА;
130205;МОСКВА СЦ УЧ. ТАРЫ;МОСКВА;
130206;МОСКВА УКД-4;МОСКВА;
130221;МОСКВА УКД-1 УДО-1;МОСКВА;
130222;МОСКВА УКД-2 УДО-2;МОСКВА;
130223;МОСКВА УКД-3 УДО-3;МОСКВА;
130224;МОСКВА УКД-4 УДО-4;МОСКВА;
130232;МОСКВА УКД-2 УДД-2;МОСКВА;
130301;МОСКВА СЦ КД УЧ-1;МОСКВА;
130302;МОСКВА СЦ КД УЧ-2;МОСКВА;
130303;МОСКВА СЦ КД УЧ-3;МОСКВА;
130304;МОСКВА СЦ КД УЧ-4;МОСКВА;
130305;МОСКВА СЦ КД УЧ-5;МОСКВА;
130306;МОСКВА СЦ КД УЧ-6;МОСКВА;
130307;МОСКВА СЦ КД УЧ-7;МОСКВА;
130308;МОСКВА СЦ КД УЧ-8;МОСКВА;
130309;МОСКВА СЦ КД УЧ-9;МОСКВА;
130310;МОСКВА СЦ КД УЧ-10;МОСКВА;
130311;МОСКВА СЦ КД УЧ-11;МОСКВА;
130312;МОСКВА СЦ КД УЧ-12;МОСКВА;
130313;МОСКВА СЦ КД УЧ-13;МОСКВА;
130314;МОСКВА СЦ КД УЧ-14;МОСКВА;
130315;МОСКВА СЦ КД УЧ-15;МОСКВА;
130316;МОСКВА СЦ КД УЧ-16;МОСКВА;
130317;МОСКВА СЦ КД УЧ-17;МОСКВА;
130318;МОСКВА СЦ КД УЧ-18;МОСКВА;
130319;МОСКВА СЦ КД УЧ-19;МОСКВА;
130320;МОСКВА СЦ КД УЧ-20;МОСКВА;
130321;МОСКВА СЦ КД УЧ-21;МОСКВА;
130322;МОСКВА СЦ КД УЧ-22;МОСКВА;
130323;МОСКВА СЦ КД УЧ-23;МОСКВА;
130324;МОСКВА СЦ КД УЧ-24;МОСКВА;
130325;МОСКВА СЦ КД УЧ-25;МОСКВА;
130326;МОСКВА СЦ КД УЧ-26;МОСКВА;
130327;МОСКВА СЦ КД УЧ-27;МОСКВА;
130216;МОСКВА УЧАСТОК ДПП-СЕВЕР;МОСКВА;
130217;МОСКВА УЧАСТОК ДПП-ЮГ;МОСКВА;
130231;МОСКВА УКД-2 УДД-1;МОСКВА;
130328;МОСКВА СЦ КД УЧ-28;МОСКВА;
130329;МОСКВА СЦ КД УЧ-29;МОСКВА;
130330;МОСКВА СЦ КД УЧ-30;МОСКВА;
130331;МОСКВА СЦ КД УЧ-31;МОСКВА;
130332;МОСКВА СЦ КД УЧ-32;МОСКВА;
130333;МОСКВА СЦ КД УЧ-33;МОСКВА;
130334;МОСКВА СЦ КД УЧ-34;МОСКВА;
130335;МОСКВА СЦ КД УЧ-35;МОСКВА;
130336;МОСКВА СЦ КД УЧ-36;МОСКВА;
130337;МОСКВА СЦ КД УЧ-37;МОСКВА;
130338;МОСКВА СЦ КД УЧ-38;МОСКВА;
130339;МОСКВА СЦ КД УЧ-39;МОСКВА;
130340;МОСКВА СЦ КД УЧ-40;МОСКВА;
130341;МОСКВА СЦ КД УЧ-41;МОСКВА;
130342;МОСКВА СЦ КД УЧ-42;МОСКВА;
130343;МОСКВА СЦ КД УЧ-43;МОСКВА;
130344;МОСКВА СЦ КД УЧ-44;МОСКВА;
130345;МОСКВА СЦ КД УЧ-45;МОСКВА;
130346;МОСКВА СЦ КД УЧ-46;МОСКВА;
130347;МОСКВА СЦ КД УЧ-47;МОСКВА;
130348;МОСКВА СЦ КД УЧ-48;МОСКВА;
130349;МОСКВА СЦ КД УЧ-49;МОСКВА;
130350;МОСКВА СЦ КД УЧ-50;МОСКВА;
130351;МОСКВА СЦ КД УЧ-51;МОСКВА;
130352;МОСКВА СЦ КД УЧ-52;МОСКВА;
130353;МОСКВА СЦ КД УЧ-53;МОСКВА;
130354;МОСКВА СЦ КД УЧ-54;МОСКВА;
130355;МОСКВА СЦ КД УЧ-55;МОСКВА;
130356;МОСКВА СЦ КД УЧ-56;МОСКВА;
130357;МОСКВА СЦ КД УЧ-57;МОСКВА;
130358;МОСКВА СЦ КД УЧ-58;МОСКВА;
130359;МОСКВА СЦ КД УЧ-59;МОСКВА;
130360;МОСКВА СЦ КД УЧ-60;МОСКВА;
130361;МОСКВА СЦ КД УЧ-61;МОСКВА;
130362;МОСКВА СЦ КД УЧ-62;МОСКВА;
130363;МОСКВА СЦ КД УЧ-63;МОСКВА;
130364;МОСКВА СЦ КД УЧ-64;МОСКВА;
130365;МОСКВА СЦ КД УЧ-65;МОСКВА;
130366;МОСКВА СЦ КД УЧ-66;МОСКВА;
130367;МОСКВА СЦ КД УЧ-67;МОСКВА;
130368;МОСКВА СЦ КД УЧ-68;МОСКВА;
130369;МОСКВА СЦ КД УЧ-69;МОСКВА;
130370;МОСКВА СЦ КД УЧ-70;МОСКВА;
130371;МОСКВА СЦ КД УЧ-71;МОСКВА;
130372;МОСКВА СЦ КД УЧ-72;МОСКВА;
130373;МОСКВА СЦ КД УЧ-73;МОСКВА;
130374;МОСКВА СЦ КД УЧ-74;МОСКВА;
130375;МОСКВА СЦ КД УЧ-75;МОСКВА;
130376;МОСКВА СЦ КД УЧ-76;МОСКВА;
130377;МОСКВА СЦ КД УЧ-77;МОСКВА;
130378;МОСКВА СЦ КД УЧ-78;МОСКВА;
130379;МОСКВА СЦ КД УЧ-79;МОСКВА;
130380;МОСКВА СЦ КД УЧ-80;МОСКВА;
130381;МОСКВА СЦ КД УЧ-81;МОСКВА;
130382;МОСКВА СЦ КД УЧ-82;МОСКВА;
130383;МОСКВА СЦ КД УЧ-83;МОСКВА;
130384;МОСКВА СЦ КД УЧ-84;МОСКВА;
130385;МОСКВА СЦ КД УЧ-85;МОСКВА;
130386;МОСКВА СЦ КД УЧ-86;МОСКВА;
130387;МОСКВА СЦ КД УЧ-87;МОСКВА;
130388;МОСКВА СЦ КД УЧ-88;МОСКВА;
130389;МОСКВА СЦ КД УЧ-89;МОСКВА;
130390;МОСКВА СЦ КД УЧ-90;МОСКВА;
130391;МОСКВА СЦ КД УЧ-91;МОСКВА;
130392;МОСКВА СЦ КД УЧ-92;МОСКВА;
500880;ALTANBULAG;МОСКВА;
130393;МОСКВА СЦ КД УЧ-93;МОСКВА;
130394;МОСКВА СЦ КД УЧ-94;МОСКВА;
130395;МОСКВА СЦ КД УЧ-95;МОСКВА;
130396;МОСКВА СЦ КД УЧ-96;МОСКВА;
130397;МОСКВА СЦ КД УЧ-97;МОСКВА;
130398;МОСКВА СЦ КД УЧ-98;МОСКВА;
130399;МОСКВА СЦ КД УЧ-99;МОСКВА;
130400;МОСКВА СЦ КД УЧ-100;МОСКВА;
130401;МОСКВА СЦ КД УЧ-101;МОСКВА;
130402;МОСКВА СЦ КД УЧ-102;МОСКВА;
130403;МОСКВА СЦ КД УЧ-103;МОСКВА;
130404;МОСКВА СЦ КД УЧ-104;МОСКВА;
130405;МОСКВА СЦ КД УЧ-105;МОСКВА;
131000;"АО ""ПОЧТА РОССИИ""";МОСКВА;
131001;"АО ""ПОЧТА РОССИИ"" - СЕРВИС ЛИЧНЫЙ КАБИНЕТ";МОСКВА;
131003;"АО ""ПОЧТА РОССИИ"" - ЕДИНЫЙ СЕРВИС ОНЛАЙН КАНАЛА";МОСКВА;
500980;FOLCROFT PI;МОСКВА;
144700;УФПС МОСКОВСКОЙ ОБЛАСТИ;МОСКВА;
500480;NEWARK;МОСКВА;
500580;VIROLAHTI;МОСКВА;
500680;BASILDON;МОСКВА;
500780;SINGAPORE;МОСКВА;
500380;LONDON;МОСКВА;
111543;МОСКВА ППС;МОСКВА;
105036;МОСКВА ППС;МОСКВА;
115087;МОСКВА ППС;МОСКВА;
115226;МОСКВА ППС;МОСКВА;
115534;МОСКВА ППС;МОСКВА;
117625;МОСКВА ППС;МОСКВА;
129342;МОСКВА ППС;МОСКВА;
131004;"АО ""ПОЧТА РОССИИ"" - OMS";МОСКВА;
130215;МОСКВА СЦ УЧАСТОК ДПП-1;МОСКВА;
125955;МОСКВА-ЦОТО;МОСКВА;
125956;МОСКВА-ЦОТО;МОСКВА;
125957;МОСКВА-ЦОТО;МОСКВА;
130233;МОСКВА УКД-2 УДД-3;МОСКВА;
130234;МОСКВА УКД-2 УДД-4;МОСКВА;
101733;МОСКВА АТП;МОСКВА;
130290;МОСКВА АТП;МОСКВА;
130291;МОСКВА АТП;МОСКВА;
130292;МОСКВА АТП;МОСКВА;
130293;МОСКВА АТП;МОСКВА;
130294;МОСКВА АТП;МОСКВА;
144730;АТП МОСКОВСКОЙ ОБЛАСТИ;МОСКВА;
910681;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
910890;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
910891;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
910899;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
131005;"АО ""ПОЧТА РОССИИ"" - СОДУ";МОСКВА;
915419;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
916334;МОСКВА-ПОЧТОМАТ (АПС);МОСКВА;
191086;САНКТ-ПЕТЕРБУРГ 86;САНКТ-ПЕТЕРБУРГ;
191104;САНКТ-ПЕТЕРБУРГ 104;САНКТ-ПЕТЕРБУРГ;
191119;САНКТ-ПЕТЕРБУРГ 119;САНКТ-ПЕТЕРБУРГ;
191122;САНКТ-ПЕТЕРБУРГ 122;САНКТ-ПЕТЕРБУРГ;
191069;САНКТ-ПЕТЕРБУРГ 69;САНКТ-ПЕТЕРБУРГ;
188690;ВСЕВОЛОЖСК УКД;САНКТ-ПЕТЕРБУРГ;
190000;САНКТ-ПЕТЕРБУРГ;САНКТ-ПЕТЕРБУРГ;
190005;САНКТ-ПЕТЕРБУРГ 5;САНКТ-ПЕТЕРБУРГ;
190008;САНКТ-ПЕТЕРБУРГ 8;САНКТ-ПЕТЕРБУРГ;
190013;САНКТ-ПЕТЕРБУРГ 13;САНКТ-ПЕТЕРБУРГ;
190020;САНКТ-ПЕТЕРБУРГ 20;САНКТ-ПЕТЕРБУРГ;
190031;САНКТ-ПЕТЕРБУРГ 31;САНКТ-ПЕТЕРБУРГ;
190068;САНКТ-ПЕТЕРБУРГ 68;САНКТ-ПЕТЕРБУРГ;
190098;САНКТ-ПЕТЕРБУРГ 98;САНКТ-ПЕТЕРБУРГ;
190103;САНКТ-ПЕТЕРБУРГ 103;САНКТ-ПЕТЕРБУРГ;
190107;САНКТ-ПЕТЕРБУРГ 107;САНКТ-ПЕТЕРБУРГ;
190121;САНКТ-ПЕТЕРБУРГ 121;САНКТ-ПЕТЕРБУРГ;
190147;САНКТ-ПЕТЕРБУРГ 147;САНКТ-ПЕТЕРБУРГ;
190195;САНКТ-ПЕТЕРБУРГ 195;САНКТ-ПЕТЕРБУРГ;
190700;УФПС Г. САНКТ-ПЕТЕРБУРГА И ЛЕНИНГРАДСКОЙ ОБЛАСТИ;САНКТ-ПЕТЕРБУРГ;
190880;САНКТ-ПЕТЕРБУРГ УКД;САНКТ-ПЕТЕРБУРГ;
190882;САНКТ-ПЕТЕРБУРГ УКД-2;САНКТ-ПЕТЕРБУРГ;
190890;САНКТ-ПЕТЕРБУРГ МСЦ УЧ. ТАРЫ;САНКТ-ПЕТЕРБУРГ;
190891;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО АОПП УЧ. ТАРЫ;САНКТ-ПЕТЕРБУРГ;
190899;САНКТ-ПЕТЕРБУРГ ПОЧТАМТ УЧ. ТАРЫ;САНКТ-ПЕТЕРБУРГ;
190900;САНКТ-ПЕТЕРБУРГ ПОЧТАМТ БОКС-СЕРВИС;САНКТ-ПЕТЕРБУРГ;
190909;САНКТ-ПЕТЕРБУРГ МСЦ ЦЭП-9;САНКТ-ПЕТЕРБУРГ;
190910;САНКТ-ПЕТЕРБУРГ ГСП;САНКТ-ПЕТЕРБУРГ;
190911;САНКТ-ПЕТЕРБУРГ ПОЧТАМТ ЦЕХ-11;САНКТ-ПЕТЕРБУРГ;
190914;САНКТ-ПЕТЕРБУРГ МСЦ УОСПО;САНКТ-ПЕТЕРБУРГ;
190924;САНКТ-ПЕТЕРБУРГ ПОЧТАМТ ЦЕХ-11 УЧ. ТАРЫ;САНКТ-ПЕТЕРБУРГ;
190960;САНКТ-ПЕТЕРБУРГ МСЦ;САНКТ-ПЕТЕРБУРГ;
190961;САНКТ-ПЕТЕРБУРГ МСЦ-1;САНКТ-ПЕТЕРБУРГ;
190962;САНКТ-ПЕТЕРБУРГ МСЦ EMS;САНКТ-ПЕТЕРБУРГ;
190966;САНКТ-ПЕТЕРБУРГ МСЦ ЦОПО;САНКТ-ПЕТЕРБУРГ;
190967;САНКТ-ПЕТЕРБУРГ МСЦ ЦСПО;САНКТ-ПЕТЕРБУРГ;
190970;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО АОПП;САНКТ-ПЕТЕРБУРГ;
190971;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО АОПП EMS;САНКТ-ПЕТЕРБУРГ;
190973;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО PI-4;САНКТ-ПЕТЕРБУРГ;
190974;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО EMS;САНКТ-ПЕТЕРБУРГ;
190975;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО;САНКТ-ПЕТЕРБУРГ;
190976;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО PI-1;САНКТ-ПЕТЕРБУРГ;
190977;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО PI-2;САНКТ-ПЕТЕРБУРГ;
190978;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО PI-3;САНКТ-ПЕТЕРБУРГ;
190979;САНКТ-ПЕТЕРБУРГ-ПУЛКОВО ММПО PI-SV;САНКТ-ПЕТЕРБУРГ;
190980;САНКТ-ПЕТЕРБУРГ EMS;САНКТ-ПЕТЕРБУРГ;
190981;САНКТ-ПЕТЕРБУРГ PI-1;САНКТ-ПЕТЕРБУРГ;
190985;САНКТ-ПЕТЕРБУРГ PI-SV;САНКТ-ПЕТЕРБУРГ;
190986;САНКТ-ПЕТЕРБУРГ PI-7P;САНКТ-ПЕТЕРБУРГ;
190987;САНКТ-ПЕТЕРБУРГ PI-7;САНКТ-ПЕТЕРБУРГ;
190990;САНКТ-ПЕТЕРБУРГ ММПО;САНКТ-ПЕТЕРБУРГ;
190999;САНКТ-ПЕТЕРБУРГ ПОЧТАМТ;САНКТ-ПЕТЕРБУРГ;
191002;САНКТ-ПЕТЕРБУРГ 2;САНКТ-ПЕТЕРБУРГ;
191011;САНКТ-ПЕТЕРБУРГ 11;САНКТ-ПЕТЕРБУРГ;
191014;САНКТ-ПЕТЕРБУРГ 14;САНКТ-ПЕТЕРБУРГ;
191015;САНКТ-ПЕТЕРБУРГ 15;САНКТ-ПЕТЕРБУРГ;
191023;САНКТ-ПЕТЕРБУРГ 23;САНКТ-ПЕТЕРБУРГ;
191024;САНКТ-ПЕТЕРБУРГ 24;САНКТ-ПЕТЕРБУРГ;
191025;САНКТ-ПЕТЕРБУРГ 25;САНКТ-ПЕТЕРБУРГ;
191028;САНКТ-ПЕТЕРБУРГ 28;САНКТ-ПЕТЕРБУРГ;
191033;САНКТ-ПЕТЕРБУРГ 33;САНКТ-ПЕТЕРБУРГ;
191036;САНКТ-ПЕТЕРБУРГ 36;САНКТ-ПЕТЕРБУРГ;
191038;САНКТ-ПЕТЕРБУРГ 38;САНКТ-ПЕТЕРБУРГ;
191040;САНКТ-ПЕТЕРБУРГ 40;САНКТ-ПЕТЕРБУРГ;
191055;САНКТ-ПЕТЕРБУРГ 55;САНКТ-ПЕТЕРБУРГ;
191060;САНКТ-ПЕТЕРБУРГ 60;САНКТ-ПЕТЕРБУРГ;
190997;САНКТ-ПЕТЕРБУРГ УЧ. ВР. ХРАНЕНИЯ-2;САНКТ-ПЕТЕРБУРГ;
191123;САНКТ-ПЕТЕРБУРГ 123;САНКТ-ПЕТЕРБУРГ;
191124;САНКТ-ПЕТЕРБУРГ 124;САНКТ-ПЕТЕРБУРГ;
191141;САНКТ-ПЕТЕРБУРГ 141;САНКТ-ПЕТЕРБУРГ;
191144;САНКТ-ПЕТЕРБУРГ 144;САНКТ-ПЕТЕРБУРГ;
191163;САНКТ-ПЕТЕРБУРГ 163;САНКТ-ПЕТЕРБУРГ;
191167;САНКТ-ПЕТЕРБУРГ 167;САНКТ-ПЕТЕРБУРГ;
191180;САНКТ-ПЕТЕРБУРГ 180;САНКТ-ПЕТЕРБУРГ;
191181;САНКТ-ПЕТЕРБУРГ 181;САНКТ-ПЕТЕРБУРГ;
191186;САНКТ-ПЕТЕРБУРГ 186;САНКТ-ПЕТЕРБУРГ;
191187;САНКТ-ПЕТЕРБУРГ 187;САНКТ-ПЕТЕРБУРГ;
191193;САНКТ-ПЕТЕРБУРГ 193;САНКТ-ПЕТЕРБУРГ;
191311;САНКТ-ПЕТЕРБУРГ 311;САНКТ-ПЕТЕРБУРГ;
191317;САНКТ-ПЕТЕРБУРГ 317;САНКТ-ПЕТЕРБУРГ;
192007;САНКТ-ПЕТЕРБУРГ 7;САНКТ-ПЕТЕРБУРГ;
192012;САНКТ-ПЕТЕРБУРГ 12;САНКТ-ПЕТЕРБУРГ;
192019;САНКТ-ПЕТЕРБУРГ 19;САНКТ-ПЕТЕРБУРГ;
192029;САНКТ-ПЕТЕРБУРГ 29;САНКТ-ПЕТЕРБУРГ;
192071;САНКТ-ПЕТЕРБУРГ 71;САНКТ-ПЕТЕРБУРГ;
192076;САНКТ-ПЕТЕРБУРГ 76;САНКТ-ПЕТЕРБУРГ;
192077;САНКТ-ПЕТЕРБУРГ 77;САНКТ-ПЕТЕРБУРГ;
192102;САНКТ-ПЕТЕРБУРГ 102;САНКТ-ПЕТЕРБУРГ;
192131;САНКТ-ПЕТЕРБУРГ 131;САНКТ-ПЕТЕРБУРГ;
192148;САНКТ-ПЕТЕРБУРГ 148;САНКТ-ПЕТЕРБУРГ;
192159;САНКТ-ПЕТЕРБУРГ 159;САНКТ-ПЕТЕРБУРГ;
192171;САНКТ-ПЕТЕРБУРГ 171;САНКТ-ПЕТЕРБУРГ;
192174;САНКТ-ПЕТЕРБУРГ 174;САНКТ-ПЕТЕРБУРГ;
192177;САНКТ-ПЕТЕРБУРГ 177;САНКТ-ПЕТЕРБУРГ;
192212;САНКТ-ПЕТЕРБУРГ 212;САНКТ-ПЕТЕРБУРГ;
192236;САНКТ-ПЕТЕРБУРГ 236;САНКТ-ПЕТЕРБУРГ;
192237;САНКТ-ПЕТЕРБУРГ 237;САНКТ-ПЕТЕРБУРГ;
192238;САНКТ-ПЕТЕРБУРГ 238;САНКТ-ПЕТЕРБУРГ;
192239;САНКТ-ПЕТЕРБУРГ 239;САНКТ-ПЕТЕРБУРГ;
192241;САНКТ-ПЕТЕРБУРГ 241;САНКТ-ПЕТЕРБУРГ;
192242;САНКТ-ПЕТЕРБУРГ 242;САНКТ-ПЕТЕРБУРГ;
192249;САНКТ-ПЕТЕРБУРГ 249;САНКТ-ПЕТЕРБУРГ;
192281;САНКТ-ПЕТЕРБУРГ 281;САНКТ-ПЕТЕРБУРГ;
192282;САНКТ-ПЕТЕРБУРГ 282;САНКТ-ПЕТЕРБУРГ;
192283;САНКТ-ПЕТЕРБУРГ 283;САНКТ-ПЕТЕРБУРГ;
192284;САНКТ-ПЕТЕРБУРГ 284;САНКТ-ПЕТЕРБУРГ;
192285;САНКТ-ПЕТЕРБУРГ 285;САНКТ-ПЕТЕРБУРГ;
192286;САНКТ-ПЕТЕРБУРГ 286;САНКТ-ПЕТЕРБУРГ;
192288;САНКТ-ПЕТЕРБУРГ 288;САНКТ-ПЕТЕРБУРГ;
192289;САНКТ-ПЕТЕРБУРГ 289;САНКТ-ПЕТЕРБУРГ;
192290;САНКТ-ПЕТЕРБУРГ 290;САНКТ-ПЕТЕРБУРГ;
193079;САНКТ-ПЕТЕРБУРГ 79;САНКТ-ПЕТЕРБУРГ;
193091;САНКТ-ПЕТЕРБУРГ 91;САНКТ-ПЕТЕРБУРГ;
193149;САНКТ-ПЕТЕРБУРГ 149;САНКТ-ПЕТЕРБУРГ;
193168;САНКТ-ПЕТЕРБУРГ 168;САНКТ-ПЕТЕРБУРГ;
193230;САНКТ-ПЕТЕРБУРГ 230;САНКТ-ПЕТЕРБУРГ;
193231;САНКТ-ПЕТЕРБУРГ 231;САНКТ-ПЕТЕРБУРГ;
193232;САНКТ-ПЕТЕРБУРГ 232;САНКТ-ПЕТЕРБУРГ;
193312;САНКТ-ПЕТЕРБУРГ 312;САНКТ-ПЕТЕРБУРГ;
193313;САНКТ-ПЕТЕРБУРГ 313;САНКТ-ПЕТЕРБУРГ;
193315;САНКТ-ПЕТЕРБУРГ 315;САНКТ-ПЕТЕРБУРГ;
193318;САНКТ-ПЕТЕРБУРГ 318;САНКТ-ПЕТЕРБУРГ;
193382;САНКТ-ПЕТЕРБУРГ 382;САНКТ-ПЕТЕРБУРГ;
194017;САНКТ-ПЕТЕРБУРГ 17;САНКТ-ПЕТЕРБУРГ;
194021;САНКТ-ПЕТЕРБУРГ 21;САНКТ-ПЕТЕРБУРГ;
194044;САНКТ-ПЕТЕРБУРГ 44;САНКТ-ПЕТЕРБУРГ;
194064;САНКТ-ПЕТЕРБУРГ 64;САНКТ-ПЕТЕРБУРГ;
194100;САНКТ-ПЕТЕРБУРГ 100;САНКТ-ПЕТЕРБУРГ;
194153;САНКТ-ПЕТЕРБУРГ 153;САНКТ-ПЕТЕРБУРГ;
194156;САНКТ-ПЕТЕРБУРГ 156;САНКТ-ПЕТЕРБУРГ;
194214;САНКТ-ПЕТЕРБУРГ 214;САНКТ-ПЕТЕРБУРГ;
194223;САНКТ-ПЕТЕРБУРГ 223;САНКТ-ПЕТЕРБУРГ;
