INDEX;OPSNAME;REGION;CITY
104006;МОСКВА PCI-6;МОСКВА;
104008;МОСКВА PCI-2 ВОЗВРАТ;МОСКВА;
104010;МОСКВА EMS;МОСКВА;
104011;МОСКВА PCI-1 SURFACE;МОСКВА;
104012;МОСКВА PCI-E;МОСКВА;
104015;МОСКВА PCI-15;МОСКВА;
104050;МОСКВА-ДОМОДЕДОВО ТЕРМИНАЛ;МОСКВА;
104051;МОСКВА-ВНУКОВО ТЕРМИНАЛ;МОСКВА;
105005;МОСКВА 5;МОСКВА;
105037;МОСКВА 37;МОСКВА;
105043;МОСКВА 43;МОСКВА;
105062;МОСКВА 62;МОСКВА;
105064;МОСКВА 64;МОСКВА;
105066;МОСКВА 66;МОСКВА;
105077;МОСКВА 77;МОСКВА;
105082;МОСКВА 82;МОСКВА;
105094;МОСКВА 94;МОСКВА;
105111;МОСКВА 111;МОСКВА;
105118;МОСКВА 118;МОСКВА;
105120;МОСКВА 120;МОСКВА;
105122;МОСКВА 122;МОСКВА;
105173;МОСКВА 173;МОСКВА;
105175;МОСКВА 175;МОСКВА;
105187;МОСКВА 187;МОСКВА;
105215;МОСКВА 215;МОСКВА;
105229;МОСКВА 229;МОСКВА;
105264;МОСКВА 264;МОСКВА;
105275;МОСКВА 275;МОСКВА;
105318;МОСКВА 318;МОСКВА;
105425;МОСКВА 425;МОСКВА;
105484;МОСКВА 484;МОСКВА;
105523;МОСКВА 523;МОСКВА;
105554;МОСКВА 554;МОСКВА;
105568;МОСКВА 568;МОСКВА;
105613;МОСКВА 613;МОСКВА;
105679;МОСКВА 679;МОСКВА;
105950;МОСКВА МРП-1;МОСКВА;
105976;МОСКВА МРП-1 УЧ. ТАРЫ;МОСКВА;
105980;МОСКВА МРП-1 EMS;МОСКВА;
106000;МОСКВА-ГЛАВНЫЙ ПУНКТ ЕСПП;МОСКВА;
107013;МОСКВА 13;МОСКВА;
107014;МОСКВА 14;МОСКВА;
107016;МОСКВА 16;МОСКВА;
107023;МОСКВА 23;МОСКВА;
107031;МОСКВА 31;МОСКВА;
107045;МОСКВА 45;МОСКВА;
107053;МОСКВА 53;МОСКВА;
107061;МОСКВА 61;МОСКВА;
107065;МОСКВА 65;МОСКВА;
107076;МОСКВА 76;МОСКВА;
107078;МОСКВА 78;МОСКВА;
107113;МОСКВА 113;МОСКВА;
107139;МОСКВА 139;МОСКВА;
107140;МОСКВА 140;МОСКВА;
107143;МОСКВА 143;МОСКВА;
107150;МОСКВА 150;МОСКВА;
107174;МОСКВА 174;МОСКВА;
107199;МОСКВА 199;МОСКВА;
107207;МОСКВА 207;МОСКВА;
107217;МОСКВА 217;МОСКВА;
107228;МОСКВА 228;МОСКВА;
107241;МОСКВА 241;МОСКВА;
107258;МОСКВА 258;МОСКВА;
107370;МОСКВА 370;МОСКВА;
107392;МОСКВА 392;МОСКВА;
107450;МОСКВА 450;МОСКВА;
107497;МОСКВА 497;МОСКВА;
107553;МОСКВА 553;МОСКВА;
107564;МОСКВА 564;МОСКВА;
107589;МОСКВА 589;МОСКВА;
107996;МОСКВА ГСП-6;МОСКВА;
108000;МОСКВА МСПЦ;МОСКВА;
108818;ВАТУТИНКИ;МОСКВА;
109145;МОСКВА 145;МОСКВА;
109004;МОСКВА 4;МОСКВА;
109012;МОСКВА 12;МОСКВА;
109028;МОСКВА 28;МОСКВА;
109029;МОСКВА 29;МОСКВА;
109044;МОСКВА 44;МОСКВА;
109052;МОСКВА 52;МОСКВА;
109074;МОСКВА 74;МОСКВА;
109089;МОСКВА 89;МОСКВА;
109097;МОСКВА 97;МОСКВА;
109117;МОСКВА 117;МОСКВА;
109125;МОСКВА 125;МОСКВА;
109129;МОСКВА 129;МОСКВА;
109144;МОСКВА 144;МОСКВА;
109147;МОСКВА 147;МОСКВА;
109153;МОСКВА 153;МОСКВА;
109156;МОСКВА 156;МОСКВА;
109189;МОСКВА 189;МОСКВА;
109202;МОСКВА 202;МОСКВА;
109235;МОСКВА 235;МОСКВА;
109240;МОСКВА 240;МОСКВА;
109263;МОСКВА 263;МОСКВА;
109289;МОСКВА 289;МОСКВА;
109316;МОСКВА 316;МОСКВА;
109341;МОСКВА 341;МОСКВА;
109369;МОСКВА 369;МОСКВА;
109377;МОСКВА 377;МОСКВА;
109378;МОСКВА 378;МОСКВА;
109380;МОСКВА 380;МОСКВА;
109382;МОСКВА 382;МОСКВА;
109383;МОСКВА 383;МОСКВА;
109384;МОСКВА 384;МОСКВА;
109386;МОСКВА 386;МОСКВА;
109387;МОСКВА 387;МОСКВА;
109388;МОСКВА 388;МОСКВА;
109389;МОСКВА 389;МОСКВА;
109390;МОСКВА 390;МОСКВА;
109391;МОСКВА 391;МОСКВА;
109417;МОСКВА 417;МОСКВА;
109428;МОСКВА 428;МОСКВА;
109429;МОСКВА 429;МОСКВА;
109431;МОСКВА 431;МОСКВА;
109439;МОСКВА 439;МОСКВА;
109443;МОСКВА 443;МОСКВА;
109444;МОСКВА 444;МОСКВА;
109451;МОСКВА 451;МОСКВА;
109456;МОСКВА 456;МОСКВА;
109457;МОСКВА 457;МОСКВА;
109462;МОСКВА 462;МОСКВА;
109469;МОСКВА 469;МОСКВА;
109472;МОСКВА 472;МОСКВА;
109507;МОСКВА 507;МОСКВА;
109518;МОСКВА 518;МОСКВА;
109542;МОСКВА 542;МОСКВА;
109544;МОСКВА 544;МОСКВА;
109548;МОСКВА 548;МОСКВА;
109559;МОСКВА 559;МОСКВА;
109649;МОСКВА 649;МОСКВА;
109651;МОСКВА 651;МОСКВА;
109652;МОСКВА 652;МОСКВА;
109950;МОСКВА МРП-9;МОСКВА;
109976;МОСКВА МРП-9 УЧ. ТАРЫ;МОСКВА;
109980;МОСКВА МРП-9  EMS;МОСКВА;
109992;МОСКВА ГСП-2;МОСКВА;
111020;МОСКВА 20;МОСКВА;
111024;МОСКВА 24;МОСКВА;
111033;МОСКВА 33;МОСКВА;
111109;МОСКВА 109;МОСКВА;
111116;МОСКВА 116;МОСКВА;
111123;МОСКВА 123;МОСКВА;
111141;МОСКВА 141;МОСКВА;
111250;МОСКВА 250;МОСКВА;
111394;МОСКВА 394;МОСКВА;
111395;МОСКВА 395;МОСКВА;
111396;МОСКВА 396;МОСКВА;
111397;МОСКВА 397;МОСКВА;
111398;МОСКВА 398;МОСКВА;
111399;МОСКВА 399;МОСКВА;
111401;МОСКВА 401;МОСКВА;
111402;МОСКВА 402;МОСКВА;
111524;МОСКВА 524;МОСКВА;
111531;МОСКВА 531;МОСКВА;
111537;МОСКВА 537;МОСКВА;
111538;МОСКВА 538;МОСКВА;
